term,date,slot,room,teacher,subjectcode,sessionnumber,studentgroup,,,Note,SlotType,Type
SU22,2022-05-23,1,G502,duyenntn,495,1,GBC0901,,,,,0
SU22,2022-05-23,2,G502,duyenntn,495,2,GBC0901,,,,,0
SU22,2022-05-25,1,G502,duyenntn,495,3,GBC0901,,,,,0
SU22,2022-05-25,2,G502,duyenntn,495,4,GBC0901,,,,,0
SU22,2022-05-27,1,G502,duyenntn,495,5,GBC0901,,,,,0
SU22,2022-05-27,2,G502,duyenntn,495,6,GBC0901,,,,,0
SU22,2022-05-30,1,G502,duyenntn,495,7,GBC0901,,,,,0
SU22,2022-05-30,2,G502,duyenntn,495,8,GBC0901,,,,,0
SU22,2022-06-01,1,G502,duyenntn,495,9,GBC0901,,,,,0
SU22,2022-06-01,2,G502,duyenntn,495,10,GBC0901,,,,,0
SU22,2022-06-03,1,G502,duyenntn,495,11,GBC0901,,,,,0
SU22,2022-06-03,2,G502,duyenntn,495,12,GBC0901,,,,,0
SU22,2022-06-06,1,G502,duyenntn,495,13,GBC0901,,,,,0
SU22,2022-06-06,2,G502,duyenntn,495,14,GBC0901,,,,,0
SU22,2022-06-08,1,G502,duyenntn,495,15,GBC0901,,,,,0
SU22,2022-06-08,2,G502,duyenntn,495,16,GBC0901,,,,,0
SU22,2022-06-10,1,G502,duyenntn,495,17,GBC0901,,,,,0
SU22,2022-06-10,2,G502,duyenntn,495,18,GBC0901,,,,,0
SU22,2022-06-13,1,G502,duyenntn,495,19,GBC0901,,,,,0
SU22,2022-06-13,2,G502,duyenntn,495,20,GBC0901,,,,,0
SU22,2022-06-15,1,G502,duyenntn,495,21,GBC0901,,,,,0
SU22,2022-06-15,2,G502,duyenntn,495,22,GBC0901,,,,,0
SU22,2022-06-17,1,G502,duyenntn,495,23,GBC0901,,,,,0
SU22,2022-06-17,2,G502,duyenntn,495,24,GBC0901,,,,,0
SU22,2022-06-20,1,G502,duyenntn,495,25,GBC0901,,,,,0
SU22,2022-06-20,2,G502,duyenntn,495,26,GBC0901,,,,,0
SU22,2022-06-22,1,G502,duyenntn,495,27,GBC0901,,,,,0
SU22,2022-06-22,2,G502,duyenntn,495,28,GBC0901,,,,,0
SU22,2022-06-24,1,G502,duyenntn,495,29,GBC0901,,,,,0
SU22,2022-06-24,2,G502,duyenntn,495,30,GBC0901,,,,,0
SU22,2022-06-27,1,G502,duyenntn,495,31,GBC0901,,,,,0
SU22,2022-06-27,2,G502,duyenntn,495,32,GBC0901,,,,,0
SU22,2022-06-29,1,G502,duyenntn,495,33,GBC0901,,,,,0
SU22,2022-06-29,2,G502,duyenntn,495,34,GBC0901,,,,,0
SU22,2022-07-01,1,G502,duyenntn,495,35,GBC0901,,,,,0
SU22,2022-07-01,2,G502,duyenntn,495,36,GBC0901,,,,,0
SU22,2022-07-11,1,G502,duyenntn,495,37,GBC0901,,,,,0
SU22,2022-07-11,2,G502,duyenntn,495,38,GBC0901,,,,,0
SU22,2022-07-13,1,G502,duyenntn,495,39,GBC0901,,,,,0
